tweet,label
zaneisclasker the fuck r u talking about i told u once and am going to tell u against nigga i love white bitch gtf bro,0
rt bestofworldstar charlie sheen did the ice bucket challenge the right way ,2
thejustinnn toddkincannon realbrother0003 he is a pussy,1
vinniepolitan the cunt needs her hands cut off,1
what a bitch pshh,1
kassidypeek pussy shit ,1
jayreidofficial a nicca anxious to hear that shit my g,1
likka downtown bitch at a secondline rt ballhawkcarter man yeah that is ball game teddy bridgewater gettin in  we hit 03,1
rt dafuckinunicorn swag swag swag bitch moooob,1
i dont love these hoes ,1
little stupid ass bitch i am not fuckin wit chuuu,1
i am going to be an ugly niggah for halloween so i can just be myself,1
8220commonmankfan and that is why mock drafts are a joke my friends8221anyone,2
bitch i would not eat yah pussy wit another nigga tongue,1
rt kivnaaa vivalakash 128514128514128514 on god i be thinking that  lol people at school be showing me this nigguh videos  im like 128563 he famous oss 128514,1
idgaf if that is sounds illogical this twitter bitch,1
ronniecaine so how bout now was just trash huh,2
wolfgangabedeus nickfilancia80 clair3ismon3y you can tease this dick faggot,1
kiefferjason bitch what i did show up then i tweeteddm texted then called u and i asked u were tryna meet up bitch ur fucking weak,1
behind every independent woman is a pack of hating hoes,1
danwolken it is idiotic opinions like this that make polls less than trash polls were not a problem when people with integrity were voting,2
my house is so piece full thank god these little jungle bunnies are outta my face,1
believe in the heart of the cards bitch,1
newser big fucking dealcry baby niggers,0
rt drunksixthgrade and if you aint a hoe get up out my traphouseeee ,1
whitethunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,0
8220sukasuiti uceina nawwww if you a hoe you sittin on the floor and not my damn couuuuuch128131 but your birthday is in feb or naa8221 nope,1
that is why i could always call smurf for anything my niggah always there even when im beefing w my baby,1
jacobs just like stfu bitch,1
128514128514128514128514 i hate you rt yumiyoko cyrus ho is a rookie slut getting the cash after the date nope nope nope,1
i hate when people just randomly stop talking to you like give me a reason bitch,1
all the pictures of the ex are gonethere is no pictures with the side hoe postedslides into his dms like ,1
xxxratedlipss i always want to speak to ppl i converse with on twitter but they always look at me like bitch idk you in real life smh,1
signsofcockblockin rt tribexyunglion niggahs telling hoes i am down talking them just so i cannot get on 128514 fuckniggahs,1
my mother even bitched his bitch ass ctfu,1
rt tattedbrunettex can i get a fuck you to these bitches from all of my niggas who do not love hoes they get no dough,1
all the money n the pussy i want i need that there,1
i find it funny when fags write looking for bf on a grindr ap lol thats a fucking ap dumbass,0
rt bigmac6374 i do not like the weather right now it is scaring me lol why is it yellow,2
yeah i am a bitch but guess what you are still a slut,1
mommy said no pussy cats inside my dawgs house,2
rt jesusmvela 8220enriquuee jesusmvela wigga32 fucking pussy that is why8221 exactly let me  the nigga ryanmattheww7 were talking about 8230,1
being a sober soul just wasnt interesting bitch im living 5spmg ggl ,1
barbod6fcb am not gonna shut shit up bitch but u can get yo punk ass out there hoe ass nigga,1
"just yelled out damn it reeks of weed in therereally did after this stoner fag did not tip me while a cop was walking by
haha bitches",1
this flappy bird game addicting ,2
hell i believe you toort darealquitam vonshayeb lol i still look good i am smaller than half these hoes,1
i want some fire crackers not the baby ass fire works does az have fire crackers ,1
or my cup filled 8220bossmobbe love a bitch that know to keep me one rolled8221,1
rt queenbitchhhh i am scared to lose you cause i know you get bitches,1
rt psjohnson23 the problem with retard liberals is they think supply  demand means supply me with everything i demand votingmatters,1
rt arlisdonotchill this bitch played too much subway surfer ,1
generate ascii boxes with nodejs all i see is the ability to bring flappybird in node via ascii tubes and bird  ,2
thats my bitch when i feel like it,1
rt keyanalatricee idk why your favoriting shit hoe bye 128536128075,1
dexfrost23 you can be a bad bitch too dex its okay,1
kurtbusiek well pee is oft yellow,2
i am for equality in the law for all people white black red yellow and blue homos heteros well i draw the line ,1
stupid bitch82308230 count to h and get off my phone,1
some bitches curve game be too serious,1
rt jamilaahhh these hoes be twerkin for birkin poppin coochie for gucci bustin wide for that prada bendin over for louis,1
rt daraunn joshuataddac i have not slapped a bitch in two weeks,1
xtruthseekerx blaxican,2
drivemylexis yasssss bitch yasssss 128525,1
some call me the song bird of my generation,2
hysterical calling bho a monkey northkorea  may be a bunch of assholes but that comment made me belly laugh,1
"conmanbo lastgreatstand

and a major league bitch too",1
rt deemazz70 jmccown11 got all the bitches ,1
rt ciavdia wow well are not you just a fucking cunt ,1
alibaba  jack ma gotta love a guy who beat meg whitmans albino ass back to the us freakin commie genius,1
"8220tpthree westsideflee kekepalmer damn they got wifey 1285611285611285341285341285551285531285531285538221

fall back nigga 128299 i do not share my hoes",0
jukejuke9 shit he prolly is other than that everybody else trash,1
dj khaled a fool  500k for a ring for nikki that bitch spends a good million on her ugly ass wigs 128514128514128514,1
rt amazingtrey3 im done wasting my time i am just going cut a bitch off faster than i blink,1
bobby bitchhot nigga,1
hahahaha manziel is a faggot and the browns will ruin him win win for me,1
8220iamshiraq whereyohussleat u got hoes tho8221 werd 128066 where 128064,1
rt dodgers gracias por jugar con el corazon ahora a ganarle a los yankees tommylasorda ,2
"rt hspiotta21 c is for cunt
u is for ur a cunt
n is for not sure u know this but ur a cunt
t is for turn around bitch ur a cunt",1
"rt gucci10i7 side hoes shall only eat side dishes fo ye are what ye eats
traprinthions 1017",1
"i know my shoes dirty as fuck whatever bitch you do not have to call

like negro one of the first things they look at is shoes dog",1
"rt amoz1939 drinking
to the last drop
washing teapot 
haiku mijikai",2
eanahs girl i been wanting them shit i been growing them hoes for bout 6months,1
rt mckinley719 like bitch you already know the answer it is all for bri duh,1
rt mommajjojo when they said lifes a bitch they really meant it,1
never lose bitches chasing money 128524 priorities,1
commongaytweets nigga byeeeee lmfao i will be dammed if a fag stole my girl,1
throwback to being bitches  drinking mikes bc we sucked autumnmaye ,1
short answer yes  sage grouse rebellion will obama use two small birds to limit oil drilling in the west ,2
if temple beats rutgers today i will be a happy clam,2
cut that bitch off,1
i still think snap chat for faggots and high schoolers,0
i am downloading you a new personality and ordering you a new face you bitch i love you goddamn it axl rose yelling at his sex robot,1
weazy bitch birdman jr ,1
tomorrows agenda bake brownies  visit a couple open house,2
and now lookin ass niggas and lookin ass bitches will be the terms of 2014 will be overused  abused in every fucking way,1
"8220onebadcreation boyfriends thatll eat yo pussy all day long 

ur da real mvp 1285571280798221 ",1
lilkevj pussy,1
i do not trust these bitches,1
whys this bitch wearing a striped tshirt and nike shocks,1
errybody in dis bitch getting tips whispers errybody in dis bitch getting tipsy,1
this bitch crazy,1
chicagorose1 dunleavy my cracker ass honkie,1
these niggas am not shit but hoes with tricks,1
omg i hate this bitches fucking laugh shut the fuck upppp,1
rt fatandfly88 bitches talking bout dey bout ta chill out on going out you bitches just saying dat cause its getting cold and u bitches d8230,1
rt liiilbxrde plot twist it takes a lot to cut that bitch off 128528,1
carterboyleake italianmontana tyg235 chill your dad gets more bitches at school than you do griff,1
it feels awkward to have the yankees playing against the reds i mean we all know who i am rooting for but it is awkward,2
i miss my monkey 128533,2
therealjohndoe thats nate dumbass we all just mock him,1
bluesapphireearrings 18kyellowgoldclipondiamond alexandra earrings in emerald crystal on emma ,2
tastemylips57 she like imma stop talking to you because you vibing in them headphonestalk to me and come get this pussy in other words,1
8220moffettmm just got done with my last final and i am walkin around campus like i own this place8221 queer,0
its funny how these hoes will be texting yo phone all day and then 3 days later have a boyfriend 128514,1
rt theeaglefazi almost 83 of children in balochistan have never been to school followed by 80 in sindh 75 in kp and 60 in punjab 8230,2
8220lifeofbrandon 8220100046729 lifeofbrandon bitch i called yu back8221 the lies1285648221127797,1
since you gave me the pussy that ass getting fatter,1
one time for the illest bitch alive,1
got my shit changed doe  find the pw now bitches  haha,1
rt estradax187 money is the baddest bitch i know,1
never bring these hoes to my house cause these bitches talk,1
rt hanginwitcoop 128514128514128514128514 rt 8220pesopesopeso wtf this bitch broke her arm eery time she hit the shit 8221,1
rt crzy4tay 8220hedgebrandon if you have only seen my couch not my bed then you my hoe8221128514128514,1
bought this lp in manchester the other week had no idea it was coloured vinyl man what a steal vinylgasm remachined,2
two horny guys take turns beating the shit out of a tight teen pink160pussy ,1
bitches bitches bitches,1
i am a wigger,1
if anyone ever gets an attitude or w e with me idgaf who it is i am going to be a bitch right back 128076128076,1
rt guycodes flirting with bitches on twitter like ,1
"rt thepartycodes if my jokes offend you 

1 i am sorry 
2 it will not happen again 
3 1  2 are lies 
4 you are a pussy",1
itslexishope sounds like there are some major bitches in your area,1
rt nyashwhisperer after these shows yall bitches imitate n wonder u i say d things i say,1
i just fell in love just saw the baddest bitch driving a 2014 e350 amg coupe 128525128525128525128525128525128525128525128525128525128525128525128525,1
rt drugfreedatzme fuk being on some chill shit  i go 0 to 100 hoes real quick 128526,1
rt blackjeezuss bitches cant finish a 6 inch sub but want a 12 inch dick,1
the big lips was in the ad bitch,1
want to go get this brownie i am stuck doe,2
officialreplay i am lowkey tired if you tired be quiet and go to sleep hoe,1
"rt jburnone cheating am not no accident hoe
 fallin off a bike is a accident 
i am not never seen a bitch trip  land on no dick",1
pinto grigio dreams turned into moscato reality,2
shouldnt be living rt youngtravo stank pussy should never be ate,1
all theses hoes on me  they so phony 128534,1
if the yankees cannot beat the red sox they do not even deserve to be in the playoffs yankees redsox mlb,2
that son of a bitch moment when your walking through your house in the dark and stub your little toe on the wall,1
danifreshh some weird local ghetto school haha,2
look at them hoes man fuck them hoes niggah lets get smoked,1
cut that bitch off ,1
i do not  rt fvckfresh light skin bitches will have 30 unread texts  still tweet nobody to talk to  you bitches is outta control,1
rt jcash bradshaw am not no hoe,1
marioolvera94 follow me bitch lol u too good to follow back ha ha,1
rayrice is still a bitch nfl got this one wrong women fans should be livid noexcuses,1
rt drunktweets81 you sure do have a pretty face for a cripple,2
"rt socass 822000sexilexi00 socass i sang for you you nazi8221

beaner",1
rt lynkinthedog tnasty4teen i do not love these hoes,1
i just wanna fuck bad bitches,1
you all entertained by these bitch az niggas hitting women smh who raised you,1
these bitches climb on me climb on me 128523128524,1
no cuz redskins are dumpster juice rt trackinblackkev game of the week still the best rivalry in sports,2
rt 516jake hungover and feeling yyyyyeelllloooowwwwww outlawdipper mudjug1 dbh yellow ,2
i need sleep but cannot seem to get that place that let us you clam down and sleep ,2
got a red ass bitch wid a red ass pussayyy,1
yay i am a redneck piece of shit sorrynotsorry,1
rt jonnyfootbali fuck bitches get touchdowns,1
"goes to olive garden
turns into a cracker
giacier goes black friday shopping

turns into a nigger",0
nigga just had them crackers on a chase,0
haha bitch ass gucci,1
hahahaha fucking pussies kevinlove kingjames cavs,1
rt badgalzolanski retweet if ur dick will choke a bitch 128514,1
rt allanson i got gatorades twinkies rice puddings pringles and cookies 128525128555,2
thatvibe bitch i am gretchen weiners i do what i want,1
you fucking pussy you could not even beat your dick  angry youtube comment,1
rt scottydoesntn0 cinco de mind yo own damn business bitch,1
i grew up with niggahs do not trust no niggah no love for niggahs,1
goofy ass lmfaoo make a niggah laugh,1
rt delaislaaa get real  fucking fight or do not play me i do not play with pussy ass niggas,1
having sex with a guy wont keep him around for you dumb hoes who think that theres plenty pussy just gotta have a guy who wont give in,1
thank god fob didnt come back doing some shitty arena tour iwaited5yearsforfobandiallgotwasthisshittyarena sykeeee,1
elennamichelle only when ur around me 128523 gotta keep dat scent to keep filthy niggers away,1
8220layaface we out brooklyn bound wit this money feelin like yung jeezy in this bitch 128299128299 8221 laughing my ass offooo,1
mum agrees with me ur being a wee moody cunt and you cani deal with the fact i am right dadsbeingsilly,1
msmarrie i am so tipsy i just tried to relate hoes to mild sauce and make it relevant lol,1
i was in love with charlie 128553,2
jnastyy bumfarto why would a white man even go to a nigger hell hole of detroit an i have worked in a town how you all good niggers,1
realskipbayless haha how much are you payed to constantly not know what you are talking about dumb ass 128514128076 wade is trash,1
8220prissyneeer whereyohussleat smh they gotta grow up 128514 at least you know these bitches want to be you 1285248221 i swear 9994,1
8220odlew11 who clothes in the dryer i am tryna dry my clothes8221throw them hoes out,1
rt lovableetyy im a bitch when im hungry ,1
i got 05 of rain yesterday including the bird shit in my gauge,1
rainaluvsa in that picture yes i have not had an updated pic added the angel wing is colored now too and thanks represents what i am ,2
rt kerb215 1234 how many niggers are in my store i knowwwww your stealing 128514128514128514 that vine still be having me weak,1
guy complains to me gays are oversensitive my response and look at you complaining like little pussy waahh waahh hypocrite,0
stop smokin bathsalt charlie brown rejectedpeanutsspecials,2
im telling you man rt kfromtheg roethlisberger got his record expunged and became trash,2
that bitch,1
what i do betysweetcocker gotta report you as spam rt 80sbaby4life ladies rt if your head game better than your pussy,1
rt thatboyking all you hoes wake up,1
only fw bad bitches iont do no mediocre,1
rt lohanthony lana uses the term bad bitch in a uv track i have never been more proud,1
ima tear that pussy uuuup,1
rt nikkiinick22 customers at like you make the prices like no bitch i do not,1
leighvl niggas probably be watching me like look at this uncle tom ass rasta,0
good dick tattoos bitches like dat talk to dem any kind of way the bitches like dat,1
rt jayzoverrated 82202charmss next person i see tweeting that bitch shitting on herself im unfollowing you8221,1
rt thatscomplex hate shit like this bitch cannot make a decent meal but can take a hell of a thirst trap 8221,1
scottt3130 brantality hunterxsfob i think he is retarded or somethin ,1
rt copperpeony libshateus 1dittlinger sharpton went from being a big fat snitch to a skinny bitch either way he is nothing but a carni8230,1
cannot trust every face bitch you gotta watch em,1
animeking420 fight me 1 on 1 ur choice of game faggot see what happens,0
been hooping all day tired than bitch,1
you some type of special faggot if you bring chocolate swishers to a smoke session,0
soundtracktoky these hoe ass niggas am not get nobody in free agency,1
rt ohlawditsniesha i swear that bitch can not talk but i love her attitude bruh lhhatl,1
hey morons at foxnews and foxandfriends was it political when bush raised terror threat right before the election laughing my ass off at u teabaggers,1
find waldo at escape bitches  12830898986503912830912792610024128588 ,1
rt hoes emma watson theoscars2014 128515128515 ,2
spark these bitches interests,1
annie you crazy hoe 128514128514128514,1
rt darthalk baqotivity shinsnipes you are tweeting at the cringiest people in darth here and dana is our bitch laughing my ass off she follows our r8230,1
itsonlyjess lukefriendyy jcatsrule she is a right twat i would tell you honestly sky honestly 128520127829,1
residinero we some hoes bruhhh lol,1
this fat bitch just said next time do not forget my potato chips 128514128514,1
"realpimpinken pimpinkendotnet sell a bitch pussy til it is drip drop wet the vet not the pet

hey bitch",1
every spic cop in losangeles has raped or has thought about raping a white woman that is why those halfbreeds get jobs as pigs,0
omg this bitch is fucking stupid i swear blah blah blah a week later omg ilysm bae ur my best friend i swear,1
so what if she a hoe in her city if she make you happy move her to montana and be happy for the rest of y8217all days,1
i just cannot imagine myself being albino haha,1
rt mikediggem only ugly girls can fight pretty bitches have no hands lol,1
this shit so trash lol,1
this cowboys an redskins game was a hell of a game,2
"rt timraw was crazy about her

got to know her

she was a bitch

felt betrayed by my judgment",1
never leave your trust in a bitch,1
go utes you got playboy bitches disrespectful players and a bunch of spoiled hipsters at your school so i am cheering for you not,1
been a trill nicca since a lil nicca,1
hbmostdope ugly bitches be like i am my own wcw duh bitch you am not nobody elses128514128514,1
value your moneyvalue your dickdo not buy trashdo not fuck trash,1
kingteej ol dirty foot ass bitches this was too funny to me,1
idk what is worse then a broke hoe with potential,1
type of nicca owe yu money but still ask you to go n on a blunt,1
rt therealicetre hot pockets  hoes,1
sneakerluke wojtata mikeymikerowave joecushkush poor 5sos has annoying ass cunts as fans they do not care about you at all you know,1
trillvanillaaa bitch i will fuck you up,1
annacoman2 she was the principle for a ghetto elementary school i doubt it but fingers crossed128527,1
these bitches fake one min talking about a hoe next min bestfriends with the hoe,1
nah my nigga just tried to set me up with the ugliest bitch of all time at the club just now we officially am not friends no more dawg wtf,1
rt backtobriality 8220overlyliked only real niggas know no matter how hungry you are you better let these bitches cool off 8230,1
rt mundyspeaks poll florida governor rick scott is leading charlie crist by five points ,2
that front flip was trash that is how i front flip into the swimming pool and land on my back every time,2
mrpoonsoaker laughing my ass off 682420 but i8217m hella skinny so bitches don8217t like me,1
i already know i am about to buy so many bitches drinks tonight that i will never fuck but lifes all about hits and misses gotta take chances,1
bobbyrosee let the hoes tell it man,1
got your bitch over here combing my hair for me ,1
asaprocki huhwhatsacondom sighs 1 not a bitch i am a woman learn the difference 2 i know i am fat 3 it is called a scarf dumbass,1
rt barryclerjuste yall want foreign bitches sooo bad but cant even pull local hoes,1
are you serious right now hypocritical and double standards fuck outta my face with that trash,1
fucktravonn ahh i see i am still a rook about the knowledge of the hoe but i am progressing,1
you all sleep on shy glizzy 128564 young jefe128520,2
tastemylips57 am not say it is wrong but it is just as stupid as hoes showing up to get attention from dudesno one is bigger than the game,1
poor leohe cannot help havin resting bitch face i feel ya home skillet biscuit,1
nigga hungry then a bitch too,1
cussed out by a fat redneck on the last day yolo shawnnasanford meganmonday13 kelssslynn 128514128514,0
you are being a cunt right now rq978,1
clutchaction cmon pussy,1
girl like 19 pics of mine on instagram this morning while i was working when i saw that i thought this bitch need a life,1
8220isignmyownboobs thats my fav part on take care8221whole album trash,2
bitches will be bitches,1
teach me rt intellectsrus you really be fucking bitches brah,1
"rt rayiopez niggas be like

128663128659
fuck there go the 5o

128663128659
be cool son

128663128659
man fuck 

128659128663
bitch as8230",1
used the dollar menu  spectate at the mall but now i am buying that bitch out cause shit i want it all ,1
rt tel1967 darn trash man he beat me to the good stuff again ,2
rt uniiquemariee there is only one bae at the end of the day 128584128175128149128571 cause she ride for me unlike you other bitches,1
8220skinnysowhat paperchaysin you will not have to herd for hoes no more lol8221 laughing my ass off i hope not this shit schressful,1
therealcvl and coryholmes24 are faggots kbye,0
megatron mustve fucked stafford bitch or something he will not throw my mans the ball,1
fairflattaxnow morningjoe joe scarborough hey teabagger the law made it a felony to keep and collect the records get your facts straight,2
clangloisss hmu negro,2
8220worldstarfunny we do not love these hoes 8221 ilovebamf 128076,1
 evilyn fierce 8211 naughty girl next door pummels her pussy with a purple160toy ,1
so far today every time i try to load an article from the blaze on twitter the site crashes wtf is selibus doing now the cunt,1
thinking bout those oysters at the gator bait tho128533,2
edgarpixar overdosing on heavy drugs does not sound bad tonight i do that pussy shit every day,2
last year i cuffed that bitch well now its ovaaaaaa,1
bitches be happy about burger king pollo tropical on lunch break at work but act like dinner with new niggaz gotta be upscale,1
hugs or kisses 8212 hugs it gives you a warm fuzzy feeling ,2
rt itsmsbrenduh got kicked out of aa classes bc i laughed at a guy and called him a pussy for blacking out every time he drank,1
tattoos are about expression not meaning one mans trash is another mans treasure 128161128176,2
double up on that blow bitch,1
karlamorenoo my niggah my niggah lol,1
having a bitch come in handy during times like this 128533,1
"liveitupjersey ccass357  whered you go big mouth bitch
busy choking on that cock i told you to find",1
rt vodkathoughts shego was the baddest bitch of my childhood128293 ,1
rt imneverchillin you get drunk with a bitch and u try and grab her ass she get all offended well excuse me bitch i thought u were a hoe,1
pistolpete96 that is a good choice except all the whale bitches you would fuck would get pregnant,1
caliqueeen14 you da realest bitch out here amber,1
subtweettweettweettweet cuz skinny niggah but my dick long,1
bitch live a little,1
rt slygirl08 you say 8220potato8221 your pimp says 8220put out ho8221,1
wallofthewasatch bitch,1
to many dumb hoes in milwaukee,1
this bitch needs to turn off her shitty music 128544,1
rt budapecanshellz this bitch needs to be ray riced ,1
rt isellgreencards you a faggot if you use uber because real niggas drive drunk,1
nautiwashere these bitches drippin sauce,1
nikkiboo22 bitch you hella late i went yesterday lol,1
i swear i hate when im somewhere and a woman catches my rubberband that clearly says kappa alpha psi and ask me am i a kappa yes bitch lol,1
lrt turnup lil bitch,1
stop sayin my gov name fuck wrong widd u bitch is u stupid,1
well am not that a bitch,1
if you attractive people just gone up and assume you got hoes,1
ima pull up eat on that pussy n dip,1
time to start listing to il spook,2
8220sexualmedic how i feel when i am throwing trash away 8221 everyday in school,2
bombfantasyyy angelamastr laughing my ass off angela you look like a damn potato bitch keep talkin,1
rt datniggalaced i am fuking every night up in my new house  cause bitch i worked to hard fa this new house  128513,1
ya kno nigga got two accounts128586 rt ieatpie when the lil bitch start tweetin she will see these tweets or someone will snitch,1
zhugstubble meet up eat bitch,1
rt ispeaksarcasms niggas expect you to pull this out when they ask where the hoes at ,1
rt curvables teachers always think they slick bitches be subtweeting you in class and shit,1
shawtyimout cunt,1
i am a purple headed cunt,1
alfieheydrich but i live in the south lot more here my pop lives in rhode island hardly no niggers there,0
